Ticker,Volatility_avg
MASK,0.063
C98,업비트 비상장
MED,0.132
1INCH,0.052
CRV,업비트 비상장
BOBA,업비트 비상장
DYDX,업비트 비상장
MINA,0.136
FLOW,0.09
JOE,업비트 비상장
GALA,업비트 비상장
ENS,0.041
BTT,-3.737
JASMY,업비트 비상장
REQ,업비트 비상장
CSPR,업비트 비상장
AVAX,0.097
TDROP,업비트 비상장
HBAR,0.039
FANC,업비트 비상장
NPT,업비트 비상장
REI,업비트 비상장
T,0.102
MBX,업비트 비상장
GMT,0.011
TAVA,업비트 비상장
DAR,업비트 비상장
APE,업비트 비상장
WNCG,업비트 비상장
AL,업비트 비상장
XCN,업비트 비상장
AZIT,업비트 비상장
FLR,업비트 비상장
SFP,업비트 비상장
FITFI,업비트 비상장
STAT,업비트 비상장
CRTS,업비트 비상장
VIX,업비트 비상장
LBL,업비트 비상장
FLZ,업비트 비상장
LM,업비트 비상장
GRND,업비트 비상장
APT,0.138
BLUR,0.08
WEMIX,업비트 비상장
OAS,업비트 비상장
HOOK,업비트 비상장
XENT,업비트 비상장
LWA,업비트 비상장
OP,업비트 비상장
ROA,업비트 비상장
GMX,업비트 비상장
STX,0.117
XPLA,업비트 비상장
ARB,0.129
INJ,업비트 비상장
HFT,업비트 비상장
RPL,업비트 비상장
IMX,0.144
CFX,업비트 비상장
ACS,업비트 비상장
FXS,업비트 비상장
CELO,0.134
LDO,업비트 비상장
FTM,업비트 비상장
FET,업비트 비상장
SUI,0.118
NCT,업비트 비상장
FLOKI,업비트 비상장
ALEX,업비트 비상장
ID,0.13
RNDR,업비트 비상장
STG,0.13
OSMO,업비트 비상장
GAL,업비트 비상장
ILV,업비트 비상장
MAV,업비트 비상장
RSS3,업비트 비상장
AUDIO,업비트 비상장
AGI,업비트 비상장
RDNT,업비트 비상장
ASTR,0.149
WLD,업비트 비상장
FLUX,업비트 비상장
AR,업비트 비상장
RVN,업비트 비상장
LEVER,업비트 비상장
EDU,업비트 비상장
SEI,0.094
WAXL,업비트 비상장
MOC,0.165
PEPE,업비트 비상장
CYBER,업비트 비상장
ARKM,업비트 비상장
PYR,업비트 비상장
IOTX,업비트 비상장
HIGH,업비트 비상장
PENDLE,업비트 비상장
STORJ,0.124
API3,업비트 비상장
ZTX,업비트 비상장
MNT,0.131
GTC,업비트 비상장
TIA,업비트 비상장
ICP,업비트 비상장
SPURS,업비트 비상장
NEO,0.106
GAS,0.092
HIFI,0.026
BIGTIME,업비트 비상장
ZETA,0.069
GRS,0.06
ARK,0.076
YGG,업비트 비상장
HUNT,-0.043
KAVA,0.034
STMX,0.048
MAGIC,업비트 비상장
USDT,0.12
USDC,업비트 비상장
RAD,업비트 비상장
LSK,0.161
TT,0.105
ACE,업비트 비상장
IQ,-0.099
PYTH,0.073
MANTA,업비트 비상장
AKT,0.098
JUP,0.087
STRK,업비트 비상장
SC,-6.032
BONK,업비트 비상장
AIOZ,업비트 비상장
ZK,업비트 비상장
ONDO,0.102
NEAR,0.115
STRAX,0.119
XAI,업비트 비상장
W,업비트 비상장
ZBCN,업비트 비상장
CORE,업비트 비상장
MEW,업비트 비상장
ZRO,0.106
BLAST,0.068
TAIKO,0.489
BRETT,업비트 비상장
